ModelName;;NetID;;;;;;;;;;;
;Feature Layer Neuron Activation Value;;;;;;;;;;;;
Set;Neuron 0;Neuron 1;Neuron 2;Neuron 3;Neuron 4;Neuron 5;Neuron 6;Neuron 7;Neuron 8;Neuron 9;Neuron 10;Neuron 11;Neuron 12
392;0,09284494;0,8579416;0;0;0;0;0;0;0;0;;;
393;0,1221273;0,860221;0;0;0;0;0;0;0;0;;;
394;0,08860422;0,8575951;0;0;0;0;0;0;0;0;;;
395;0,2195256;0,8659877;0;0;0;0;0;0;0;0;;;
396;0,192452;0,8647285;0;0;0;0;0;0;0;0;;;
397;0,09461529;0,858085;0;0;0;0;0;0;0;0;;;
398;0,1252889;0,8604546;0;0;0;0;0;0;0;0;;;
399;0,09620588;0,8582133;0;0;0;0;0;0;0;0;;;
400;0,2017455;0,8651966;0;0;0;0;0;0;0;0;;;
401;0,2038268;0,8652965;0;0;0;0;0;0;0;0;;;
402;0,2964463;0,8672279;0;0;0;0;0;0;0;0;;;
403;0,2270667;0,8662777;0;0;0;0;0;0;0;0;;;
404;0,1522104;0,8623354;0;0;0;0;0;0;0;0;;;
405;0,08469808;0,8572725;0;0;0;0;0;0;0;0;;;
406;0,08993627;0,8577043;0;0;0;0;0;0;0;0;;;
407;0,1240717;0,860365;0;0;0;0;0;0;0;0;;;
408;0,1883637;0,8645116;0;0;0;0;0;0;0;0;;;
409;0,1173893;0,8598661;0;0;0;0;0;0;0;0;;;
410;0,08609787;0,8573885;0;0;0;0;0;0;0;0;;;
411;0,3056115;0,8670467;0;0;0;0;0;0;0;0;;;
